datetime,open,high,low,close,volume
2026-03-25 15:55:00+01:00,23012.25,23014.75,22968.25,22977.25,775
2026-03-25 16:00:00+01:00,22979.35,22986.65,22959.65,22975.85,1020
2026-03-25 16:05:00+01:00,22976.35,22976.85,22894.95,22897.35,1100
2026-03-25 16:10:00+01:00,22897.05,22913.45,22869.05,22875.35,1158
2026-03-25 16:15:00+01:00,22875.05,22900.55,22811.05,22846.25,1734
2026-03-25 16:20:00+01:00,22845.05,22947.05,22842.85,22932.85,1444
2026-03-25 16:25:00+01:00,22931.35,22947.05,22911.15,22946.45,1050
2026-03-25 16:30:00+01:00,22948.05,22952.05,22926.45,22940.15,865
2026-03-25 16:35:00+01:00,22941.15,22942.55,22891.05,22897.45,851
2026-03-25 16:40:00+01:00,22897.95,22927.05,22889.45,22925.55,1016
2026-03-25 16:45:00+01:00,22926.55,22930.55,22898.15,22916.25,887
2026-03-25 16:50:00+01:00,22917.55,22930.15,22901.65,22910.75,883
2026-03-25 16:55:00+01:00,22912.25,22926.35,22889.85,22898.95,994
2026-03-25 17:00:00+01:00,22901.05,22911.45,22883.45,22886.35,1081
2026-03-25 17:05:00+01:00,22886.85,22903.95,22867.25,22898.05,1088
2026-03-25 17:10:00+01:00,22898.75,22912.05,22881.25,22899.25,918
2026-03-25 17:15:00+01:00,22898.75,22911.65,22888.45,22895.15,853
2026-03-25 17:20:00+01:00,22895.05,22918.55,22879.35,22918.55,968
2026-03-25 17:25:00+01:00,22921.55,22951.75,22906.25,22943.05,1215
2026-03-25 17:30:00+01:00,22946.05,22984.75,22937.05,22959.75,874
2026-03-25 17:35:00+01:00,22959.55,22982.45,22953.55,22979.55,663
2026-03-26 08:00:00+01:00,22766.8,22771.85,22739.35,22746.35,284
2026-03-26 08:05:00+01:00,22745.85,22745.85,22707.85,22722.35,349
2026-03-26 08:10:00+01:00,22723.35,22733.75,22718.75,22731.65,307
2026-03-26 08:15:00+01:00,22730.65,22735.85,22715.85,22721.85,259
2026-03-26 08:20:00+01:00,22722.35,22750.35,22676.85,22732.15,488
2026-03-26 08:25:00+01:00,22733.85,22738.35,22706.35,22713.35,330
2026-03-26 08:30:00+01:00,22712.75,22723.35,22698.45,22712.85,337
2026-03-26 08:35:00+01:00,22714.35,22734.35,22706.35,22724.85,319
